438,Sani,img/vratham/sanee.jpg,PLANATES,mantras_stotram.aspx?godname=Sani,active,img/Shani.jpg
439,Rahu,img/vratham/rahu.jpg,PLANATES,mantras_stotram.aspx?godname=Rahu,active,img/Rahu.jpg
440,Ketu,img/vratham/kethu.jpg,PLANATES,mantras_stotram.aspx?godname=Ketu,active,img/Ketu.jpg
441,Ganga,img/vratham/ganga.jpg,RIVER GODESS,mantras_stotram.aspx?godname=Ganga,active,img/ganga.jpg
442,Yamuna,img/vratham/yamuna.jpg,RIVER GODESS,mantras_stotram.aspx?godname=Yamuna,active,img/Yamuna.jpg
443,Sindhu,img/vratham/Sindhu.jpg,RIVER GODESS,mantras_stotram.aspx?godname=Brahma,deactive,NULL
444,Narmada,img/vratham/narmada.jpg,RIVER GODESS,mantras_stotram.aspx?godname=Narmada,active,img/Narmada.jpg
445,Godavari,img/vratham/godaveri.jpg,RIVER GODESS,mantras_stotram.aspx?godname=Godavari,active,img/godavari1.jpg
446,Krishna,img/vratham/Krishnariver.jpg,RIVER GODESS,mantras_stotram.aspx?godname=Brahma,deactive,NULL
447,Kaveri,img/vratham/kaveri.jpg,RIVER GODESS,mantras_stotram.aspx?godname=Kaveri,active,img/kaveri1.jpg
448,Hansa,img/vratham/Hansa.jpg,"VAHANA GODS ",mantras_stotram.aspx?godname=Brahma,deactive,NULL
449,Garuda,img/vratham/Garuda.jpg,"VAHANA GODS ",mantras_stotram.aspx?godname=Brahma,deactive,NULL
450,Nandi,img/vratham/Nandi.jpg,"VAHANA GODS ",mantras_stotram.aspx?godname=Brahma,deactive,NULL
451,Shesha,img/vratham/Shesha.jpg,"VAHANA GODS ",mantras_stotram.aspx?godname=Brahma,deactive,NULL
452,Tulasi,img/vratham/Tulasi.jpg,"SACRED TREES ",mantras_stotram.aspx?godname=Brahma,deactive,NULL
453,Banyan,img/vratham/Banyan.jpg,"SACRED TREES ",mantras_stotram.aspx?godname=Brahma,deactive,NULL
454,Neem,img/vratham/neem.jpg,"SACRED TREES ",mantras_stotram.aspx?godname=Brahma,deactive,NULL
455,Peepal,img/vratham/Peepal.jpg,"SACRED TREES ",mantras_stotram.aspx?godname=Brahma,deactive,NULL
456,"Bilwa ",img/vratham/Bilwa.jpg,"SACRED TREES ",mantras_stotram.aspx?godname=Brahma,deactive,NULL
457,Satyanarayana Swamy,img/vratham/satyanarayanaswamy.jpg,GOD & GODDESS,mantras_stotram.aspx?godname=Brahma,deactive,NULL
458,Yama Dharmaraja,img/vratham/yamadhararaja.jpg,GOD & GODDESS,mantras_stotram.aspx?godname=Brahma,deactive,NULL
459,Navagraha,img/vratham/navagraha.jpg,PLANATES,mantras_stotram.aspx?godname=Navagraha,active,img/navagraha1.jpg
